,td_date
846,2003-10-16
847,2003-10-21
848,2003-10-22
849,2003-10-23
850,2003-10-28
851,2003-10-29
852,2003-10-30
853,2003-11-04
854,2003-11-05
855,2003-11-06
856,2003-11-11
857,2003-11-12
858,2003-11-13
859,2003-11-18
860,2003-11-19
861,2003-11-20
862,2003-11-25
863,2003-11-26
864,2003-11-27
865,2003-12-02
866,2003-12-03
867,2003-12-04
868,2003-12-09
869,2003-12-10
870,2003-12-11
871,2003-12-16
872,2003-12-17
873,2003-12-18
874,2003-12-23
875,2003-12-24
876,2003-12-25
877,2003-12-30
878,2004-01-06
879,2004-01-07
880,2004-01-08
881,2004-01-13
882,2004-01-14
883,2004-01-15
884,2004-02-03
885,2004-02-04
886,2004-02-05
887,2004-02-10
888,2004-02-11
889,2004-02-12
890,2004-02-17
891,2004-02-18
892,2004-02-19
893,2004-02-24
894,2004-02-25
895,2004-02-26
896,2004-03-02
897,2004-03-03
898,2004-03-04
899,2004-03-09
900,2004-03-10
901,2004-03-11
902,2004-03-16
903,2004-03-17
904,2004-03-18
905,2004-03-23
906,2004-03-24
907,2004-03-25
908,2004-03-30
909,2004-04-06
910,2004-04-07
911,2004-04-08
912,2004-04-13
913,2004-04-14
914,2004-04-15
915,2004-04-20
916,2004-04-21
917,2004-04-22
918,2004-04-27
919,2004-04-28
920,2004-04-29
921,2004-05-11
922,2004-05-12
923,2004-05-13
924,2004-05-18
925,2004-05-19
926,2004-05-20
927,2004-05-25
928,2004-05-26
929,2004-05-27
930,2004-06-02
931,2004-06-03
932,2004-06-08
933,2004-06-09
934,2004-06-10
935,2004-06-15
936,2004-06-16
937,2004-06-17
938,2004-06-22
939,2004-06-23
940,2004-06-24
941,2004-06-29
942,2004-07-06
943,2004-07-07
944,2004-07-08
945,2004-07-13
946,2004-07-14
947,2004-07-15
948,2004-07-20
949,2004-07-21
950,2004-07-22
951,2004-07-27
952,2004-07-28
953,2004-07-29
954,2004-08-03
955,2004-08-04
956,2004-08-05
957,2004-08-10
958,2004-08-11
959,2004-08-12
960,2004-08-17
961,2004-08-18
962,2004-08-19
963,2004-08-24
964,2004-08-25
965,2004-08-26
966,2004-09-02
967,2004-09-07
968,2004-09-08
969,2004-09-09
970,2004-09-14
971,2004-09-15
972,2004-09-16
973,2004-09-21
974,2004-09-22
975,2004-09-23
976,2004-09-28
977,2004-09-29
978,2004-10-12
979,2004-10-13
980,2004-10-14
981,2004-10-19
982,2004-10-20
983,2004-10-21
984,2004-10-26
985,2004-10-27
986,2004-10-28
987,2004-11-02
988,2004-11-03
989,2004-11-04
990,2004-11-09
991,2004-11-10
992,2004-11-11
993,2004-11-16
994,2004-11-17
995,2004-11-18
996,2004-11-23
997,2004-11-24
998,2004-11-25
999,2004-12-02
1000,2004-12-07
1001,2004-12-08
1002,2004-12-09
1003,2004-12-14
1004,2004-12-15
1005,2004-12-16
1006,2004-12-21
1007,2004-12-22
1008,2004-12-23
1009,2004-12-28
1010,2004-12-29
1011,2004-12-30
1012,2005-01-05
1013,2005-01-06
1014,2005-01-11
1015,2005-01-12
1016,2005-01-13
1017,2005-01-18
1018,2005-01-19
1019,2005-01-20
1020,2005-01-25
1021,2005-01-26
1022,2005-01-27
1023,2005-02-02
1024,2005-02-03
1025,2005-02-17
1026,2005-02-22
1027,2005-02-23
1028,2005-02-24
1029,2005-03-02
1030,2005-03-03
1031,2005-03-08
1032,2005-03-09
1033,2005-03-10
1034,2005-03-15
1035,2005-03-16
1036,2005-03-17
1037,2005-03-22
1038,2005-03-23
1039,2005-03-24
1040,2005-03-29
1041,2005-03-30
1042,2005-04-05
1043,2005-04-06
1044,2005-04-07
1045,2005-04-12
1046,2005-04-13
1047,2005-04-14
1048,2005-04-19
1049,2005-04-20
1050,2005-04-21
1051,2005-04-26
1052,2005-04-27
1053,2005-04-28
1054,2005-05-10
1055,2005-05-11
1056,2005-05-12
1057,2005-05-17
1058,2005-05-18
1059,2005-05-19
1060,2005-05-24
1061,2005-05-25
1062,2005-05-26
1063,2005-06-02
1064,2005-06-07
1065,2005-06-08
1066,2005-06-09
1067,2005-06-14
1068,2005-06-15
1069,2005-06-16
1070,2005-06-21
1071,2005-06-22
1072,2005-06-23
1073,2005-06-28
1074,2005-06-29
1075,2005-07-05
1076,2005-07-06
1077,2005-07-07
1078,2005-07-12
1079,2005-07-13
1080,2005-07-14
1081,2005-07-19
1082,2005-07-20
1083,2005-07-21
1084,2005-07-26
1085,2005-07-27
1086,2005-07-28
1087,2005-08-02
1088,2005-08-03
1089,2005-08-04
1090,2005-08-09
1091,2005-08-10
1092,2005-08-11
1093,2005-08-16
1094,2005-08-17
1095,2005-08-18
1096,2005-08-23
1097,2005-08-24
1098,2005-08-25
1099,2005-08-30
1100,2005-09-06
1101,2005-09-07
1102,2005-09-08
1103,2005-09-13
1104,2005-09-14
1105,2005-09-15
1106,2005-09-20
1107,2005-09-21
1108,2005-09-22
